,NAME,ONLINE_ORDER,BOOK_TABLE,RATE,DISH_LIKED,APPROX_COST(FOR TWO PEOPLE)
0,Jalsa,Yes,Yes,4.1/5,"Pasta, Lunch Buffet, Masala Papad, Paneer Lajawab, Tomato Shorba, Dum Biryani, Sweet Corn Soup",800
1,Spice Elephant,Yes,No,4.1/5,"Momos, Lunch Buffet, Chocolate Nirvana, Thai Green Curry, Paneer Tikka, Dum Biryani, Chicken Biryani",800
2,San Churro Cafe,Yes,No,3.8/5,"Churros, Cannelloni, Minestrone Soup, Hot Chocolate, Pink Sauce Pasta, Salsa, Veg Supreme Pizza",800
3,Addhuri Udupi Bhojana,No,No,3.7/5,Masala Dosa,300
4,Grand Village,No,No,3.8/5,"Panipuri, Gol Gappe",600
5,Timepass Dinner,Yes,No,3.8/5,"Onion Rings, Pasta, Kadhai Paneer, Salads, Salad, Roti, Jeera Rice",600
6,Rosewood International Hotel - Bar & Restaurant,No,No,3.6/5,"Onion Rings, Pasta, Kadhai Paneer, Salads, Salad, Roti, Jeera Rice",800
7,Onesta,Yes,Yes,4.6/5,"Farmhouse Pizza, Chocolate Banana, Virgin Mojito, Pasta, Paneer Tikka, Lime Soda, Prawn Pizza",600
8,Penthouse Cafe,Yes,No,4.0/5,"Pizza, Mocktails, Coffee, Nachos, Salad, Pasta, Sandwiches",700
9,Smacznego,Yes,No,4.2/5,"Waffles, Pasta, Coleslaw Sandwich, Choco Waffle, Tacos, Momos, Cheese Nachos",550
10,CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,Yes,No,4.1/5,"Waffles, Pasta, Crispy Chicken, Honey Chilli Chicken, Sandwich, Coffee, Crepe",500
11,Cafe Shuffle,Yes,Yes,4.2/5,"Mocktails, Peri Fries, Lasagne, Pizza, Chicken Bbq Wings, Virgin Mojito, Nachos",600
12,The Coffee Shack,Yes,Yes,4.2/5,"Coffee, Spaghetti, Pancakes, Nachos, Pasta, Sandwich, Garlic Bread",500
13,Caf-Eleven,No,No,4.0/5,"Sandwich, Omelette, Ice Tea, Virgin Mojito, Hot Chocolate, Pasta Arrabiata, Hazelnut Cappuccino",450
15,Cafe Vivacity,Yes,No,3.8/5,"Garlic Bread, Burgers, Sandwiches, Pizza, Hot Chocolate Fudge, Waffles, Potato Wedges",650
16,Catch-up-ino,Yes,No,3.9/5,"Momos, Mushroom Bruschettas, Jalapeno Cheeseballs, Pasta, Red Velvet Shake, Red Velvet Milkshake, Maggi",800
17,Kirthi's Biryani,Yes,No,3.8/5,"Pasta, Gelato, Garlic Bread, Mojito, Nachos, Paneer Pizza, Mocktails",700
18,T3H Cafe,No,No,3.9/5,"Cheese Maggi, Peri Peri Fries, Pasta Arrabiata",300
19,360 Atoms Restaurant And Cafe,Yes,No,3.1/5,"Cheese Maggi, Peri Peri Fries, Pasta Arrabiata",400
20,The Vintage Cafe,Yes,No,3.0/5,"Burgers, Caramel Milkshake, Iced Coffee, Iced Tea",400
21,Woodee Pizza,Yes,No,3.7/5,"Pizza, Garlic Bread",500
22,Cafe Coffee Day,No,No,3.6/5,"Pizza, Garlic Bread",900
23,My Tea House,Yes,No,3.6/5,"Pasta, Iced Tea",600
24,Hide Out Cafe,No,No,3.7/5,"Pasta, Iced Tea",300
25,CAFE NOVA,No,No,3.2/5,"Pasta, Iced Tea",600
26,Coffee Tindi,Yes,No,3.8/5,"Pasta, Iced Tea",200
27,Sea Green Cafe,No,No,3.3/5,"Pasta, Iced Tea",500
28,Cuppa,No,No,3.3/5,"Pasta, Iced Tea",550
29,Srinathji's Cafe,No,No,3.8/5,"Paratha, Sandwich, Chilli Idli, Noodles, Sandwiches, Lime Soda",550
30,Redberrys,Yes,No,4.0/5,"Pizza, Fries, Anjeer Ice Cream, Sandwiches, Gelato, Burgers, Kesar Badam",600
31,Foodiction,Yes,No,2.8/5,"Burgers, Lassi, Chicken Grill, Naan, Momos, Chicken Burger, Biryani",500
32,Sweet Truth,Yes,No,3.9/5,"Burgers, Lassi, Chicken Grill, Naan, Momos, Chicken Burger, Biryani",500
33,Ovenstory Pizza,Yes,No,3.9/5,"Paneer Tikka, Garlic Bread, Thin Crust Pizza, Falafel, Veggie Pizza",750
34,Faasos,Yes,No,4.2/5,"Rolls, Veggie Wrap, Chocolate Fantasy, Rice Bowls, Chicken Rice, Paneer Makhanwala, Chicken Tikka Wrap",500
35,Behrouz Biryani,Yes,No,3.9/5,"Raita, Gulab Jamun, Paneer Biryani, Vegetable Biryani, Gosht Dum Biryani, Chicken Biryani, Murgh Biryani",650
36,Fast And Fresh,Yes,No,2.8/5,"Raita, Gulab Jamun, Paneer Biryani, Vegetable Biryani, Gosht Dum Biryani, Chicken Biryani, Murgh Biryani",400
37,Szechuan Dragon,Yes,No,4.2/5,"Noodles, Momos, Veg Manchow Soup, Kung Pao Chicken, Chicken Lollipop, Chop Suey, Dragon Chicken",600
38,Empire Restaurant,Yes,No,4.4/5,"Chicken Tikka Masala, Mutton Keema Dosa, Mutton Biryani, Raan Biryani, Brain Fry, Chicken Grill, Ghee Rice",750
39,Maruthi Davangere Benne Dosa,Yes,No,4.0/5,"Chicken Tikka Masala, Mutton Keema Dosa, Mutton Biryani, Raan Biryani, Brain Fry, Chicken Grill, Ghee Rice",150
40,Chaatimes,Yes,No,3.8/5,"Dabeli, Faluda, Masala Poori, Sandwiches, Tokri Chaat, Pav Bhaji, Dahipuri",200
41,Havyaka Mess,No,No,3.9/5,"Dabeli, Faluda, Masala Poori, Sandwiches, Tokri Chaat, Pav Bhaji, Dahipuri",300
42,McDonald's,Yes,No,3.9/5,"Burgers, Fries, Hot Chocolate",500
43,Domino's Pizza,Yes,No,3.9/5,"Pane Pizza, Lava Cake, Pasta, Stuffed Garlic Bread, Chocolava Cake, Tacos",800
45,Hotboxit,No,No,3.8/5,Prompt Service,400
46,Kitchen Garden,Yes,No,3.6/5,Biryani,300
47,Recipe,Yes,No,4.0/5,"Butter Chicken, Noodles, Thali, Biryani",450
48,Beijing Bites,Yes,No,3.7/5,"Momos, Dragon Chicken, Hakka Noodles, Chowmein, Chop Suey, Chilli Garlic Noodles, Garlic Rice",850
49,Tasty Bytes,Yes,No,3.1/5,"Paratha, Pasta",300
50,Petoo,No,No,3.7/5,"Paratha, Pasta",450
51,Shree Cool Point,Yes,No,4.1/5,"Paratha, Pasta",150
52,Corner House Ice Cream,No,No,4.3/5,"Hot Chocolate Fudge, Vanilla Ice Cream, Fudge Cake, Chocolate Mousse",400
53,Biryanis And More,Yes,No,4.0/5,"Prawn Biryani, Dragon Chicken, Chicken Boneless Biryani, Afghani Biryani, Mughlai Biryani, Paneer Tikka Biryani, Gongura Biryani",750
54,Roving Feast,No,No,4.0/5,"Pasta, Momos, Rolls, Chicken Roll, Chilli Chicken, Paneer Roll, Spaghetti",450
55,FreshMenu,Yes,No,3.9/5,"Salads, Sandwiches, Salad, Thai Rice, Pasta, Noodles, Pizza",450
