Credit_amount,Personal_status,Property_magnitude,Age,Housing,Existing_credits,Job,Own_telephone,Foreign_worker,Class
1169.0,male single,real estate,67.0,own,2,skilled,yes,1,1
5951.0,female div/dep/mar,real estate,22.0,own,1,skilled,none,1,0
2096.0,male single,real estate,49.0,own,1,unskilled resident,none,1,1
7882.0,male single,life insurance,45.0,for free,1,skilled,none,1,1
4870.0,male single,no known property,53.0,for free,2,skilled,none,1,0
9055.0,male single,no known property,35.0,for free,1,unskilled resident,yes,1,1
2835.0,male single,life insurance,53.0,own,1,skilled,none,1,1
6948.0,male single,car,35.0,rent,1,high qualif/self emp/mgmt,yes,1,1
3059.0,male div/sep,real estate,61.0,own,1,unskilled resident,none,1,1
5234.0,male mar/wid,car,28.0,own,2,high qualif/self emp/mgmt,none,1,0
1295.0,female div/dep/mar,car,25.0,rent,1,skilled,none,1,0
4308.0,female div/dep/mar,life insurance,24.0,rent,1,skilled,none,1,0
1567.0,female div/dep/mar,car,22.0,own,1,skilled,yes,1,1
1199.0,male single,car,60.0,own,2,unskilled resident,none,1,0
1403.0,female div/dep/mar,car,28.0,rent,1,skilled,none,1,1
1282.0,female div/dep/mar,car,32.0,own,1,unskilled resident,none,1,0
2424.0,male single,life insurance,53.0,own,2,skilled,none,1,1
8072.0,male single,car,25.0,own,3,skilled,none,1,1
12579.0,female div/dep/mar,no known property,44.0,for free,1,high qualif/self emp/mgmt,yes,1,0
3430.0,male single,car,31.0,own,1,skilled,yes,1,1
2134.0,male single,car,48.0,own,3,skilled,yes,1,1
2647.0,male single,real estate,44.0,rent,1,skilled,none,1,1
2241.0,male single,real estate,48.0,rent,2,unskilled resident,none,0,1
1804.0,male single,life insurance,44.0,own,1,skilled,none,1,1
2069.0,male mar/wid,car,26.0,own,2,skilled,none,0,1
1374.0,male single,real estate,36.0,own,1,unskilled resident,yes,1,1
426.0,male mar/wid,car,39.0,own,1,unskilled resident,none,1,1
409.0,female div/dep/mar,real estate,42.0,rent,2,skilled,none,1,1
2415.0,male single,real estate,34.0,own,1,skilled,none,1,1
6836.0,male single,no known property,63.0,own,2,skilled,yes,1,0
1913.0,male mar/wid,real estate,36.0,own,1,skilled,yes,1,1
4020.0,male single,car,27.0,own,1,skilled,none,1,1
5866.0,male single,car,30.0,own,2,skilled,yes,1,1
1264.0,male single,no known property,57.0,rent,1,unskilled resident,none,1,1
1474.0,female div/dep/mar,life insurance,33.0,own,1,high qualif/self emp/mgmt,yes,1,1
4746.0,male single,life insurance,25.0,own,2,unskilled resident,none,1,0
6110.0,male single,no known property,31.0,for free,1,skilled,yes,1,1
2100.0,male single,real estate,37.0,own,1,skilled,none,1,0
1225.0,male single,car,37.0,own,1,skilled,yes,1,1
458.0,male single,real estate,24.0,own,1,skilled,none,1,1
2333.0,male single,car,30.0,own,1,high qualif/self emp/mgmt,none,1,1
1158.0,male div/sep,car,26.0,own,1,skilled,yes,1,1
6204.0,male single,real estate,44.0,own,1,unskilled resident,yes,1,1
6187.0,male mar/wid,car,24.0,rent,2,skilled,none,1,1
6143.0,female div/dep/mar,no known property,58.0,for free,2,unskilled resident,none,1,0
1393.0,female div/dep/mar,car,35.0,own,2,high qualif/self emp/mgmt,none,1,1
2299.0,male single,car,39.0,own,1,skilled,none,1,1
1352.0,female div/dep/mar,life insurance,23.0,rent,1,unemp/unskilled non res,yes,1,1
7228.0,male single,life insurance,39.0,own,2,unskilled resident,none,1,1
